geometry,address
POINT (-99.1331785 19.4326296),"Ciudad de México, México"
GEOMETRYCOLLECTION EMPTY,
POINT (19.0404707 47.4983815),"Budapest, Közép-Magyarország, 1011, Magyarország"
POINT (-77.1598454610168 18.1152958),"Jamaica, Spanish Town, Saint Catherine, Middlesex County, Jamaika"
POINT (-78.4766781 38.029306),"Charlottesville, Virginia, United States of America"
POINT (-121.4943996 38.5815719),"Sacramento, Sacramento County, California, United States of America"
POINT (115.8604796 -31.9527121),"Perth, City of Perth, Western Australia, 6000, Australia"
POINT (14.4212535 50.0874654),"Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika"
POINT (10.77572919405189 59.97239745),"Oslo, Norge"
POINT (-77.0047276 40.2101972),"Mechanicsburg, Cumberland County, Pennsylvania, United States of America"
POINT (90.4126466 23.810651),"ঢাকা, ঢাকা জেলা, ঢাকা বিভাগ, 1229, Bangladesh"
POINT (78.46106473453146 17.38878595),"Hyderabad, Telangana, India"
POINT (115.8604796 -31.9527121),"Perth, City of Perth, Western Australia, 6000, Australia"
POINT (-77.03655809999999 38.8949924),"Washington, District of Columbia, 20230, United States of America"
POINT (-89.3837613 43.074761),"Madison, Dane, Wisconsin, United States of America"
POINT (-72.7237063 41.6978777),"Newington, Hartford County, Connecticut, United States of America"
POINT (-100.4458825 39.7837304),United States
POINT (-77.0365256 -12.0621065),"Lima, Peru"
POINT (103.8303918221208 1.340863),"Singapore, Central, Singapore"
POINT (-71.00127464149776 42.67774685000001),"Boxford, Essex County, Massachusetts, 01921, United States of America"
POINT (-63.5859487 44.648618),"Halifax, Nova Scotia, Canada"
POINT (80.2838331 13.0801721),"சென்னை - Chennai, சென்னை மாவட்டம், Tamil Nadu, India"
POINT (-97.06473219999999 33.1540091),"Corinth, Denton County, Texas, 76210, United States of America"
POINT (-74.4660408 40.5462553),"Piscataway, Middlesex County, New Jersey, 08854, United States of America"
POINT (78.6677428 22.3511148),India
POINT (-74.0760439 4.59808),"Bogotá, Bogotá Distrito Capital, 110321, Colombia"
POINT (108.4265113 13.2904027),Việt Nam
POINT (-75.690308 45.421106),"Ottawa, Eastern Ontario, Ontario, K1P 1J1, Canada"
POINT (-68.9640875031406 12.1845),"Curaçao, Nederland"
GEOMETRYCOLLECTION EMPTY,
POINT (-75.08758735000001 39.94236755),"East Coast, Marlton Pike, Marlton, Camden, Camden County, New Jersey, 08105, United States of America"
POINT (78.6677428 22.3511148),India
POINT (15.21075531909385 52.73057555),"Gorzów Wielkopolski, województwo lubuskie, Polska"
POINT (104.999927 35.000074),中国
POINT (-43.2093727 -22.9110137),"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil"
POINT (9.180013199999999 48.7784485),"Stuttgart, Baden-Württemberg, 70173, Deutschland"
POINT (-73.71457460000001 41.0409305),"Purchase, Town of Harrison, Westchester County, New York, 10577, United States of America"
POINT (-81.41278418563017 28.5479786),"Orlando, FL, John Young Parkway, Orlando, Orange County, Florida, 32805-1100, United States of America"
GEOMETRYCOLLECTION EMPTY,
POINT (78.6677428 22.3511148),India
POINT (4.48110886662043 52.1518157),"Leiden, Zuid-Holland, Nederland"
POINT (-95.9383758 41.2587459),"Omaha, Douglas County, Nebraska, United States of America"
POINT (-75.7106204 45.4283596),"Gatineau, Gatineau (ville), Outaouais, Québec, Canada"
POINT (39.1653612 21.5810088),"جدة, منطقة مكة المكرمة, 23443, Saudi Arabia / السعودية"
POINT (-112.0741417 33.4484367),"Phoenix, Maricopa County, Arizona, United States of America"
POINT (-74.00601519999999 40.7127281),"New York, United States of America"
POINT (-79.1262839 40.6424116),"Indiana County, Pennsylvania, United States of America"
POINT (-1.6442556 42.8184538),"Pamplona/Iruña, Navarra - Nafarroa, España"
POINT (-122.3300624 47.6038321),"Seattle, King County, Washington, United States of America"
POINT (78.6677428 22.3511148),India
POINT (-72.5095725 42.5621053),"Montague, Franklin County, Massachusetts, United States of America"
POINT (103.8303918221208 1.340863),"Singapore, Central, Singapore"
POINT (-73.96968219999999 41.504879),"Beacon, Dutchess County, New York, 12508, United States of America"
POINT (-78.4927721 37.1232245),"Virginia, United States of America"
POINT (-83.4832262 42.4310806),"Northville, Wayne County, Michigan, 48167, United States of America"
POINT (12.5700724 55.6867243),"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark"
POINT (12.5700724 55.6867243),"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark"
POINT (-3.7035825 40.4167047),"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España"
POINT (-73.78389199999999 2.8894434),Colombia
POINT (-81.4639835 27.7567667),"Florida, United States of America"
POINT (-77.0946459 38.9848265),"Bethesda, Montgomery County, Maryland, 22814, United States of America"
POINT (-77.03655809999999 38.8949924),"Washington, District of Columbia, 20230, United States of America"
POINT (-53.2 -10.3333333),Brasil
POINT (-81.2496068 42.9836747),"London, Southwestern Ontario, Ontario, N6A 1G4, Canada"
POINT (1.8883335 46.603354),France
POINT (-72.2125789 41.6362097),"Lebanon, New London County, Connecticut, 06249, United States of America"
POINT (-99.17012240115315 18.88638935),"Jiutepec, Morelos, México"
POINT (-70.6504451 -33.4377968),"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, Chile"
POINT (-105.0668085 40.5508527),"Fort Collins, Larimer County, Colorado, United States of America"
POINT (-86.1583502 39.7683331),"Indianapolis, Marion, Indiana, United States of America"
